file,case_id,mode,model,score,max_score,score_text,cve_hit,file_hit,function_hit,evidence_hit,root_cause_hit,validation,selected_skills,first_selected_skills,latest_selected_skills,injection_turns,injection_changed,skill_relevance,relevant_skills,decision,action,agent_ran,agent_status
giflib-5.1.2-cve-2016-3977-skillclaw-inline-guarded-20260701-201932-final-with-injection.json,giflib-5.1.2-cve-2016-3977,skillclaw-inline-guarded,skillclaw-model,10.0,10.0,10/10,Y,Y,Y,Y,Y,passed,"source-parser-state-machine-oob, ida-headless-cwe120-sink-analysis, idalib-headless-batch-diagnosis","source-parser-state-machine-oob, ida-headless-cwe120-sink-analysis, idalib-headless-batch-diagnosis","source-parser-state-machine-oob, ida-headless-cwe120-sink-analysis, idalib-headless-batch-diagnosis",7,False,no_task_relevant_skill,,neutral,inspect_retrieval_before_promoting_skill,True,0
libarchive-3.8.0-cve-2025-60753-skillclaw-inline-guarded-20260707-160936-final-with-injection.json,libarchive-3.8.0-cve-2025-60753,skillclaw-inline-guarded,skillclaw-model,10.0,10.0,10/10,Y,Y,Y,Y,Y,passed,"source-parser-state-machine-oob, idalib-headless-batch-diagnosis, ida-headless-cwe120-sink-analysis","source-parser-state-machine-oob, idalib-headless-batch-diagnosis, ida-headless-cwe120-sink-analysis","source-parser-state-machine-oob, idalib-headless-batch-diagnosis, ida-headless-cwe120-sink-analysis",20,False,no_task_relevant_skill,,neutral,inspect_retrieval_before_promoting_skill,True,0
libxml2-2.9.4-cve-2017-8872-skillclaw-inline-guarded-logic-confirmation-20260705-final-with-injection.json,libxml2-2.9.4-cve-2017-8872,skillclaw-inline-guarded,skillclaw-model,10.0,10.0,10/10,Y,Y,Y,Y,Y,passed,"source-parser-state-machine-oob, vuln-hunting, elf-cwe120-firmware-triage","source-parser-state-machine-oob, vuln-hunting, elf-cwe120-firmware-triage","source-parser-state-machine-oob, vuln-hunting, elf-cwe120-firmware-triage",32,False,mixed_task_relevance,source-parser-state-machine-oob,positive,keep_skill_but_prune_extraneous_selection,True,0
tcpdump-4.9.1-cve-2017-13031-skillclaw-inline-guarded-20260702-093822-final-with-injection.json,tcpdump-4.9.1-cve-2017-13031,skillclaw-inline-guarded,skillclaw-model,10.0,10.0,10/10,Y,Y,Y,Y,Y,passed,"source-parser-state-machine-oob, vuln-hunting, verify-rootfs-full-enumeration","source-parser-state-machine-oob, vuln-hunting, verify-rootfs-full-enumeration","source-parser-state-machine-oob, vuln-hunting, verify-rootfs-full-enumeration",11,False,mixed_task_relevance,source-parser-state-machine-oob,positive,keep_skill_but_prune_extraneous_selection,True,0
tcpdump-4.9.1-cve-2018-14469-skillclaw-inline-guarded-20260707-151348-final-with-injection.json,tcpdump-4.9.1-cve-2018-14469,skillclaw-inline-guarded,skillclaw-model,10.0,10.0,10/10,Y,Y,Y,Y,Y,passed,"source-parser-state-machine-oob, vuln-hunting, verify-rootfs-full-enumeration","source-parser-state-machine-oob, vuln-hunting, verify-rootfs-full-enumeration","source-parser-state-machine-oob, vuln-hunting, verify-rootfs-full-enumeration",18,False,mixed_task_relevance,source-parser-state-machine-oob,positive,keep_skill_but_prune_extraneous_selection,True,0
