file,case_id,mode,model,score,max_score,score_text,cve_hit,file_hit,function_hit,evidence_hit,root_cause_hit,validation,selected_skills,first_selected_skills,latest_selected_skills,injection_turns,injection_changed,skill_relevance,relevant_skills,decision,action,agent_ran,agent_status
libxml2-direct-guarded-clean-budget035-final-20260625.json,libxml2-2.9.4-cve-2017-8872,direct-deepseek-guarded-clean-budget035,deepseek-v4-pro,0.0,10.0,0/10,N,N,N,N,N,,,,,0,False,no_selected_skills,,neutral,baseline_no_skill_feedback,,
libxml2-direct-guarded-clean-budget080-final-20260625.json,libxml2-2.9.4-cve-2017-8872,direct-deepseek-guarded-clean-budget080,deepseek-v4-pro,10.0,10.0,10/10,Y,Y,Y,Y,Y,,,,,0,False,no_selected_skills,,positive,use_as_baseline_positive,,
libxml2-skillclaw-guarded-clean-budget035-final-20260625.json,libxml2-2.9.4-cve-2017-8872,skillclaw-inline-guarded-clean-budget035,skillclaw-model,0.0,10.0,0/10,N,N,N,N,N,,,,,0,False,no_selected_skills,,neutral,baseline_no_skill_feedback,,
libxml2-skillclaw-guarded-clean-budget080-final-20260625.json,libxml2-2.9.4-cve-2017-8872,skillclaw-inline-guarded-clean-budget080,skillclaw-model,8.0,10.0,8/10,N,Y,Y,Y,Y,,"source-parser-state-machine-oob, elf-cwe120-firmware-triage, vuln-hunting","source-parser-state-machine-oob, elf-cwe120-firmware-triage, vuln-hunting","source-parser-state-machine-oob, elf-cwe120-firmware-triage, vuln-hunting",8,False,has_task_relevant_skill,source-parser-state-machine-oob,positive,keep_or_promote_skill,,
tcpdump-direct-guarded-clean-budget035-final-20260625.json,tcpdump-4.9.1-cve-2017-13031,direct-deepseek-guarded-clean-budget035,deepseek-v4-pro,0.0,10.0,0/10,N,N,N,N,N,,,,,0,False,no_selected_skills,,neutral,baseline_no_skill_feedback,,
tcpdump-direct-guarded-clean-budget080-final-20260625.json,tcpdump-4.9.1-cve-2017-13031,direct-deepseek-guarded-clean-budget080,deepseek-v4-pro,8.0,10.0,8/10,N,Y,Y,Y,Y,,,,,0,False,no_selected_skills,,positive,use_as_baseline_positive,,
tcpdump-skillclaw-guarded-clean-final-20260625.json,tcpdump-4.9.1-cve-2017-13031,skillclaw-inline-guarded-clean-budget035,skillclaw-model,8.0,10.0,8/10,N,Y,Y,Y,Y,,"source-parser-state-machine-oob, elf-cwe120-firmware-triage, vuln-hunting","source-parser-state-machine-oob, elf-cwe120-firmware-triage, vuln-hunting","source-parser-state-machine-oob, elf-cwe120-firmware-triage, vuln-hunting",6,False,has_task_relevant_skill,source-parser-state-machine-oob,positive,keep_or_promote_skill,,
