file,case_id,mode,model,score,max_score,score_text,cve_hit,file_hit,function_hit,evidence_hit,root_cause_hit,validation,selected_skills,skill_relevance,relevant_skills,decision,action,agent_ran,agent_status
libxml2-direct-final-20260623.json,libxml2-2.9.4-cve-2017-8872,direct-deepseek,deepseek-v4-pro,6.0,10.0,6/10,Y,Y,N,N,Y,passed,,no_selected_skills,,neutral,collect_more_cases,,
libxml2-skillclaw-final-with-injection-20260623.json,libxml2-2.9.4-cve-2017-8872,skillclaw-inline,skillclaw-model,8.0,10.0,8/10,N,Y,Y,Y,Y,passed,"source-parser-state-machine-oob, skillclaw-proxy-introspection, skillclaw-skill-discovery",legacy_has_non_infra_skill,source-parser-state-machine-oob,positive,keep_or_promote_skill,,
tcpdump-direct-final-20260623.json,tcpdump-4.9.1-cve-2017-13031,direct-deepseek,deepseek-v4-pro,8.0,10.0,8/10,N,Y,Y,Y,Y,passed,,no_selected_skills,,positive,use_as_baseline_positive,True,0
tcpdump-skillclaw-final-with-injection-20260623.json,tcpdump-4.9.1-cve-2017-13031,skillclaw-inline,skillclaw-model,8.0,10.0,8/10,N,Y,Y,Y,Y,passed,"skillclaw-proxy-introspection, skillclaw-claude-env, skillclaw-skill-discovery",only_infra_skills,,neutral,inspect_retrieval_before_promoting_skill,True,0
