skill,selected_count,positive,neutral,negative,mean_score,validation_passed,validation_partial,validation_failed,artifact_generated,artifact_execution_passed,relevant_selected,mismatched_selected,infra_selected,cve_hits,file_hits,function_hits,evidence_hits,root_cause_hits,actions,cases,modes
source-parser-state-machine-oob,4,2,1,1,1.0,3,0,1,4,4,3,1,0,4,4,4,4,4,"inspect_retrieval_before_promoting_skill:1, keep_skill_but_prune_extraneous_selection:2, require_dynamic_evidence_before_publish:1","exiv2-0.26-cve-2017-17725, giflib-5.1.2-cve-2016-3977, libxml2-2.9.4-cve-2017-8872, tcpdump-4.9.1-cve-2017-13031",blind-skillclaw-inline-guarded
elf-plt-reloc-sink-scan,3,0,3,0,1.0,2,0,1,3,3,0,3,0,3,3,3,3,3,"keep_skill_but_prune_extraneous_selection:2, require_dynamic_evidence_before_publish:1","exiv2-0.26-cve-2017-17725, libxml2-2.9.4-cve-2017-8872, tcpdump-4.9.1-cve-2017-13031",blind-skillclaw-inline-guarded
elf-cwe120-plt-analysis,2,0,2,0,1.0,1,0,1,2,2,0,2,0,2,2,2,2,2,"keep_skill_but_prune_extraneous_selection:1, require_dynamic_evidence_before_publish:1","exiv2-0.26-cve-2017-17725, tcpdump-4.9.1-cve-2017-13031",blind-skillclaw-inline-guarded
verify-rootfs-full-enumeration,1,0,1,0,1.0,1,0,0,1,1,0,1,0,1,1,1,1,1,inspect_retrieval_before_promoting_skill:1,giflib-5.1.2-cve-2016-3977,blind-skillclaw-inline-guarded
vuln-hunting,1,0,1,0,1.0,1,0,0,1,1,0,1,0,1,1,1,1,1,inspect_retrieval_before_promoting_skill:1,giflib-5.1.2-cve-2016-3977,blind-skillclaw-inline-guarded
cwe120-analysis-verification,1,0,1,0,1.0,1,0,0,1,1,0,1,0,1,1,1,1,1,keep_skill_but_prune_extraneous_selection:1,libxml2-2.9.4-cve-2017-8872,blind-skillclaw-inline-guarded
